title;artist;album;isrc
Life in a Northern Town;The Dream Academy;The Dream Academy;uswb10107349
Unfinished Sympathy (2012 Mix/Master);Massive Attack;Blue Lines (2012 Mix/Master);gbaaa1200649
Policy of Truth (2006 Remaster);Depeche Mode;Violator (2006 Remaster);gbajh0600293
What Else Is There?;Royksopp;The Understanding;frs940500063
Blasphemous Rumours;Depeche Mode;Catching Up with Depeche Mode;usre10901686
West End Girls (2001 Remaster);Pet Shop Boys;Please;gbaye0100001
World Looking In;Morcheeba;Fragments of Freedom;gbahs0004192
Alive;Pearl Jam;Ten;ussm19100003
Grounds for Divorce;Elbow;The Seldom Seen Kid (Bonus Tracks Version);gbum70710042
Song 2 (2012 Remaster);Blur;Blur (Special Edition);gbaye1200348
It's No Good (2007 Remaster);Depeche Mode;Ultra (2007 Remaster);gbajh0602714
Precious;Depeche Mode;Playing the Angel;gbajh0501450
Sun Is Shining;Bob Marley & The Wailers;Kaya;usir27800260
Caterpillar Girl;Lou Barlow;Emoh;usmrg0569003
Minnie the Moocher (Theme Song);Cab Calloway;Best Of The Big Bands;ussm10026333
Could You Be Loved;Bob Marley & The Wailers;Reggae Legends;usir28000016
Street Spirit (Fade Out);Radiohead;The Bends;gbaye9400061
Blue Monday (2016 Remaster);New Order;Singles (2016 Remaster);gbaap1500066
Shine On You Crazy Diamond (Pts. 1-5);Pink Floyd;Wish You Were Here;gbn9y1100085
Strangelove (Single Version);Depeche Mode;The Singles 86-98;gbajh9800140
Crazy;Seal;Seal;uswb19000051
Glory Box;Portishead;Dummy;gbaqt9400066
Into Dust;Mazzy Star;So Tonight That I Might See;usca29300475
God Is a DJ;Faithless;Forever Faithless - The Greatest Hits;usar19800589
Where The Streets Have No Name (Remastered);U2;The Joshua Tree;gbum70709791
You Do Something To Me;Paul Weller;Stanley Road;gbaqt9500046
Love On A Real Train (Live);Tangerine Dream;Live In America / 1992;gbcbr0400394
When the Night Feels My Song;Bedouin Soundclash;Sounding a Mosaic;usa6g0526601
Lebanese Blonde;Thievery Corporation;The Mirror Conspiracy;usesl0003304
I've Got a Woman;Ray Charles;Ray Charles (aka: Hallelujah, I Love Her So);usat29902160
No More Sweet Music;Hooverphonic;No More Sweet Music;beu010500007
Imaginary Friends;Deadmau5;W:/2016ALBUM/;gbtdg1301197
Laid;James;Laid;gbf089390076
Gayane: Sabre Dance;State Symphony Orchestra of St. Petersburg, Andre Anichanov;Khachaturian, A.I.: Ballet Music;hki199707101
(Don't Fear) The Reaper;Blue Oyster Cult;The Essential Blue Oyster Cult;ussm17600477
Stuck in the Middle With You;Stealers Wheel;Stay Home Stay Safe;gbaam7200002
Human;Rag’n’Bone Man;Human;gbarl1600665
I'm Waiting For The Man;The Velvet Underground & Nico;The Velvet Underground & Nico 45th Anniversary;uspr36702760
I Learn the Hard Way;The Waifs;Temptation;usco91155201
Les Nuits;Nightmares on Wax;N.O.W. Is The Time;gbbpw9900021
Black Dirt Track;The Waifs;Beautiful You;auwb01500001
Sound the Alarm;Thievery Corporation;Radio Retaliation;usesl0814001
Kiss Them For Me;Siouxsie and the Banshees;Superstition (Expanded Edition);gbakw9101027
Ruby Falls;Guster;Ganging Up On The Sun;usre10601324
Elephant;Tame Impala;Lonerism;auum71200495
Low Rider;War;Why Can't We Be Friends?;usrhd0610212
My Friend;Groove Armada;Goodbye Country (Hello Nightclub);gbahk0100110
Hurt;Johnny Cash;Unearthed;usdj20200650
Money for Nothing;Dire Straits;Brothers in Arms;gbf088500674
Eleanor Rigby (Remastered 2009);The Beatles;Revolver (Remastered);gbaye0601494
Gnossienne no1 (Erik Satie);La Reverie;Alma de Cuerda (Soul of String);usana0482409
That Man;Caro Emerald;That Man (US);nlhr30900014
Respect Yourself;The Staple Singers;The Very Best Of The Staple Singers;usfi80700330
The Boxer;Simon and Garfunkel;Bridge Over Troubled Water;ussm16900831
Tearing Me Up;Bob Moses;Days Gone By;gbcel1500297
War (Originally Performed By Edwin Starr) (Karaoke Version);MIDIFine Systems;Best for Musicians No. 918 (Karaoke Version);desn31324798
London Calling (Remastered);The Clash;London Calling (Remastered);gbarl1200680
It's Happening Again (Instrumental);Agnes Obel;It's Happening Again (Instrumental);gbenl1601752
Wild Wood;Paul Weller;Wild Wood;gbaqt9400003
Hey Now;London Grammar;If You Wait;ussm11303139
Born To Die;Lana Del Rey;Born To Die;gbum71111120
The Road to Hell;Joe Carran;Guitar Hits of Chris Rea;dkpnc0000101
The Passenger;Iggy Pop;A Million In Prizes: Iggy Pop Anthology (Edited Version);usvi20700278
This House Is on Fire;Natalie Merchant;Motherland;usee10140333
Sycamore Feeling;Trentemoller;Sycamore Feeling;del021070002
Keep the Streets Empty for Me;Fever Ray;Fever Ray;sewce0090209
25 or 6 to 4 (2002 Remaster);Chicago;Chicago II;usrh10285518
In the Mood;Glenn Miller;Pure Gold;usrc19901214
Feed the Tree;Belly;Star;usre19901626
Positive Vibrations (Originally Performed By Bob Marley & the Wailers) (Karaoke Version);Hit Tunes Karaoke;No Woman, No Cry (Sing the Hits of Bob Marley);ch6540868905
Hush;Deep Purple;Shades of Deep Purple;gbcbr1100170
4ware;Deadmau5;W:/2016ALBUM/;gbtdg1301192
Divenire, for piano: Divenire;Ludovico Einaudi;Divenire;
Think;Kaleida;Think;gbmyf1500001
Inertia Creeps;Massive Attack;Mezzanine;gbaaa9800329
Stockings;Suzanne Vega;Nine Objects Of Desire;usam19604272
World in My Eyes (2006 Remaster);Depeche Mode;Violator (2006 Remaster);gbajh0600287
Winter;Tori Amos;Little Earthquakes;usat29100019
#1 Crush;Garbage;Absolute Garbage;usnpd0601064
The Box, Pt. 1;Orbital;In Sides;gbanb9600016
Deja Vu Affair;Sofi Tukker;Soft Animals;qm37x1600002
Pretty in Pink;The Psychedelic Furs;Talk Talk Talk;gbbbn0102458
Majesty (Live);Madrugada;The Best Of Madrugada;noahv0509020
Usual Happiness;Kroke;Polish Spirit;dek139700905
Taurus;Spirit;Spirit;ussm16700048
Soul Sacrifice;Santana;Santana (Legacy Edition);ussm10205103
Black (Live);Pearl Jam;Let's Play Two (Live / Original Motion Picture Soundtrack);usug11701062
Unobstructed Views;Death Cab for Cutie;Codes and Keys;usat21100672
Gangsters;The Specials;The Specials;gbayk1400016
Close Behind;Calexico;Feast of Wire;usa4c0307807
Shooby Shooby Do Yah! ((featuring Steven Bernstein));Mocean Worker;Candygram for Mowo!;usme31100686
Uku;Dengue Fever;Cannibal Courtship;usc4r1123146
Jeeper Creeper;Sinkane;MARS;us4ge1200081
Separator;Radiohead;The King Of Limbs;gbu4b1100010
Big Time Sensuality;Bjork;Debut;usee10001567
Love Alive;Heart;Little Queen;ussm10009076
Lay Myself Down;Mazzy Star;Seasons of Your Day;usa2p1307000
When Doves Cry;Prince and The Revolution;Purple Rain;uswb10001877
Bleed Like Me;Garbage;Bleed Like Me (Remastered);usir10500330
Missionary Man;Eurythmics;Revenge;gbarl0300631
Something's Got A Hold On Me;Etta James;Chess Blues;usmc16146330
She Sells Sanctuary;The Cult;Love;gbazp9700076
Pride;Syntax;Nip/Tuck;gbesd0300037
While My Guitar Gently Weeps (Remastered 2009);The Beatles;The Beatles (Remastered);gbaye0601650
Lullaby;The Cure;Greatest Hits;gbalb8900001
Enjoy the Ride (One Way Acappella);Morcheeba;Enjoy The Ride;usus10810091
One Too Many Mornings;The Chemical Brothers;Exit Planet Dust;gbaaa9500107
Skokiaan (South African Song);Louis Armstrong;All Time Greatest Hits;usmc16155401
Kashmir (1990 Remaster);Led Zeppelin;Physical Graffiti (1994 Remaster);usat29900621
What'd I Say, Pt. 1 & 2;Ray Charles;The Great Hits of Ray Charles Recorded on 8-Track Stereo;usat20102461
Sweet Tides;Thievery Corporation;Radio Retaliation;usesl0814015
I Feel Loved (2007 Remaster);Depeche Mode;Exciter (2007 Remaster);gbajh0602816
Let's Dance (Album Version);David Bowie;Pirate Radio;usjt19900185
Dream On (2007 Remaster);Depeche Mode;Exciter (2007 Remaster);gbajh0602810
Cafe Del Mar (Michael Woods Remix);Energy 52;Cafe Del Mar: The Best Of The Remixes;del020060013
Stolen Car;Beth Orton;Central Reservation;gbars9800127
The Chain (2004 Remaster);Fleetwood Mac;Rumours (Deluxe Edition);uswb11301116
What The Water Gave Me (MTV Unplugged, 2012);Florence + the Machine;MTV Presents Unplugged: Florence + The Machine (Deluxe Version);gbum71201423
Love Spreads;The Stone Roses;Second Coming;usir10001070
Zombie;The Cranberries;No Need To Argue (The Complete Sessions 1994-1995);usir29400443
The Feeling Begins;Peter Gabriel;Real World 25;gbcpb0100126
The Show Must Go On (Remastered 2011);Queen;Innuendo (Deluxe Remastered Version);gbum71106221
Love Will Tear Us Apart (2010 Remaster);Joy Division;Substance;gbcrl1000175
Sweet Dreams (Are Made of This) (Remastered);Eurythmics;Sweet Dreams (Are Made Of This);gbarl0300589
Natural Blues;Moby;Play & Play: B Sides;gbajh9900041
Oxygene, Pt. 4;Jean Michel Jarre;Oxygene;fr45f1100080
Fanfare for the Common Man;Aaron Copland, Leonard Bernstein, Henry Fonda;Copland: Super Hits;ussm16800392
In The Waiting Line;Zero 7;Simple Things Special Edition;gbchv0150168
Sprawl II (Mountains Beyond Mountains);Arcade Fire;The Suburbs;gbum71021646
Fake Plastic Trees;Radiohead;The Bends;gbaye9400056
How Soon Is Now? (2011 Remaster);The Smiths;Hatful of Hollow;gbcrl1100068
My Favourite Game;The Cardigans;Best Of;sebkb9802010
O.K.;Fluke;Oto;gbaaa9500116
Let Down;Easy Star All-Stars;Radiodread;us4cl0610005
Shine;Younger Brother;Vaccine;gbp5l1000007
Strangelove Addiction;Supreme Beings of Leisure;Supreme Beings Of Leisure;uspa39900075
Lucky Man;The Verve;Urban Hymns (Remastered 2016);gbum71601824
Love And Affection;Joan Armatrading;Joan Armatrading;usam17600309
Helden (German Single Version) [2017 Remaster];David Bowie;A New Career in a New Town (1977 - 1982);usjt11700310
Bohemian Like You;The Dandy Warhols;Thirteen Tales From Urban Bohemia;usca20000241
Money;Pink Floyd;A Foot in the Door: The Best of Pink Floyd;gbn9y1100081
The Race;Yello;Essential;def078805540
You Wish;Nightmares on Wax;N.O.W. Is The Time;gbbpw0500164
Roads;Portishead;Dummy;gbaqt9400064
Blood Like Lemonade;Morcheeba;Blood Like Lemonade;bep011000033
Dreaming of You;The Coral;The Coral;gbetg0202031
Blister In The Sun (The Violent Femmes);Darek & The Videeza Band;13 Cover Songs and 1 Beer;
Diablo Rojo (Remastered);Rodrigo y Gabriela;Rodrigo Y Gabriela;ieacj1600068
Close to Me (2006 Remaster);The Cure;The Head on the Door;usee10608884
Surf Rider;The Lively Ones;Surf City;usrh10408704
Ask (2011 Remaster);The Smiths;Louder Than Bombs;gbcrl1100074
I Will Survive;Cake;Fashion Nugget;usca19686708
6 Underground;Sneaker Pimps;6 Underground;gbcdn9800016
I Am the Resurrection (Remastered);The Stone Roses;The Stone Roses (20th Anniversary Legacy Edition);gbahj0900011
Waterfall (12'' Remix);The Stone Roses;The Remixes;gbahj9900010
I Am The Resurrection (Jon Carter Remix);The Stone Roses;The Remixes;gbahj0000016
Under Pressure (Remastered 2011);Queen;Hot Space (Deluxe Remastered Version);gbum71029622
History Repeating;Shirley Bassey;Shirley Bassey: Greatest Hits;usdw19703110
Tessellate;alt‐J;An Awesome Wave;gbzuz1200066
In a Moment;Stereophonics;Graffiti on the Train;gbbgb1200025
Yeke Yeke (Phil Marwood Remix);Mory Kante;Yeke Yeke (Phil Marwood Remix);dey470924472
54-46 Was My Number;Toots & The Maytals;In The Dark;usir20300108
Monkey Man;The Maytals;Bla Bla Bla;usqy51733068
Stupid Girl (Remastered 2015);Garbage;Garbage (20th Anniversary Edition/Remastered);usgf19500408
Only Happy When It Rains;Garbage;Garbage (20th Anniversary Super Deluxe Edition/Remastered);usgf19500403
Milk (The Wicked Mix);Garbage;Garbage (20th Anniversary Super Deluxe Edition/Remastered);gbpvv1501101
Milk (Massive Attack Remix);Garbage;Absolute Garbage (Special Edition);gbaht0700412
When I Grow Up;Garbage;Version 2.0 (20th Anniversary Deluxe Edition / Remastered);usal19800024
The Trick Is To Keep Breathing;Garbage;Version 2.0 (20th Anniversary Deluxe Edition / Remastered);usal19800029
Dog Days Are Over;Florence + the Machine;Between Two Lungs;gbum70900209
Shake It Out;Florence + the Machine;Ceremonials;gbum71107355
You've Got The Love;Florence + the Machine;Between Two Lungs;gbum70900237
Breaking Down;Florence + the Machine;Ceremonials (Deluxe Edition);gbum71107584
Amerimacka;Thievery Corporation;The Cosmic Game;usesl0508106
Here Comes The Rain Again (Storytellers);Eurythmics;VH1 Storytellers;usir10000216
Played-A-Live (The Bongo Song);Safri Duo;The Remix Edition - Episode II;dkbka0100501
The Sea;Morcheeba;Big Calm;ussi19800056
Cloudbusting;Kate Bush;Hounds Of Love;gbcnr8500022
What Have I Done;Anna Ternheim;Leaving On A Mayday;sewkn0800201
Scheherazade, Op. 35: II. The Kalendar Prince (Excerpt);Various Artists;50 Best Classics;gbayc8200748
Hide U (Originally Performed By Kosheen) (Karaoke Version);Hit Tunes Karaoke;Karaoke Superhits, Vol. 441;ch6540875855
